[12] BJGHFGAJFEBHEFJDFFEE : [13] BJEFJDFFEEGHFGAJFEBH
[13] BJEFJDFFEEGHFGAJFEBH : [12] BJGHFGAJFEBHEFJDFFEE
[35] BEGIG : [1021] GGBEI
[54] AAAAA : [55] AAAAA
[54] AAAAA : [360] AAAAA
[54] AAAAA : [361] AAAAA
[55] AAAAA : [54] AAAAA
[55] AAAAA : [360] AAAAA
[55] AAAAA : [361] AAAAA
[56] CDJF : [509] CDJF
[64] FGBFACIIBDAE : [65] FGDAEBFACIIB
[65] FGDAEBFACIIB : [64] FGBFACIIBDAE
[70] JDAFACGEBGHDGECEC : [71] AFACGEJDBGHDGECEC
[71] AFACGEJDBGHDGECEC : [70] JDAFACGEBGHDGECEC
[82] JGAGDFEBAGFAIHIEI : [83] BAGJGAGDFEFHIAIEI
[83] BAGJGAGDFEFHIAIEI : [82] JGAGDFEBAGFAIHIEI
[86] BDCJAJGGJACAAGG : [87] BACDCJAJGGJAAGG
[87] BACDCJAJGGJAAGG : [86] BDCJAJGGJACAAGG
[88] IHAJIDGJCCJIIEABBC : [89] GIHAJIDJCCAJIIEBBC
[89] GIHAJIDJCCAJIIEBBC : [88] IHAJIDGJCCJIIEABBC
[96] EEEEEEEEEEEEEEEEE : [97] EEEEEEEEEEEEEEEEE
[97] EEEEEEEEEEEEEEEEE : [96] EEEEEEEEEEEEEEEEE
[98] ECF : [1537] FCE
[128] GCD : [1209] GDC
[134] JJJJJJJJJJJ : [135] JJJJJJJJJJJ
[135] JJJJJJJJJJJ : [134] JJJJJJJJJJJ
[152] GH : [1966] HG
[152] GH : [1967] GH
[155] CICHH : [1115] HCICH
[163] HD : [668] HD
[163] HD : [1150] DH
[163] HD : [1841] HD
[190] CCCC : [1943] CCCC
[191] CCCCC : [1942] CCCCC
[205] JF : [690] FJ
[210] EGB : [327] EBG
[210] EGB : [1524] GBE
[215] BDF : [775] BFD
[215] BDF : [1348] DBF
[215] BDF : [1533] BDF
[227] IEF : [359] FEI
[227] IEF : [485] IFE
[227] IEF : [1335] IEF
[236] ACCICGGDJFAGF : [237] DJFAGACCICGGF
[237] DJFAGACCICGGF : [236] ACCICGGDJFAGF
[262] HIHCEAGJ : [263] CEAGHIHJ
[263] CEAGHIHJ : [262] HIHCEAGJ
[272] BIABIDICFIGJFFJFF : [273] FBIDICBIAFJFFJIGF
[273] FBIDICBIAFJFFJIGF : [272] BIABIDICFIGJFFJFF
[286] FAGBAJGFEC : [287] JGCFAFEGBA
[287] JGCFAFEGBA : [286] FAGBAJGFEC
[293] DDDDDDD : [1910] DDDDDDD
[293] DDDDDDD : [1911] DDDDDDD
[327] EBG : [210] EGB
[327] EBG : [1524] GBE
[340] DEHAADHAJCFAEIDI : [341] AADHADEHJCFAEIDI
[341] AADHADEHJCFAEIDI : [340] DEHAADHAJCFAEIDI
[346] FGGFFGG : [347] GFFGGGF
[347] GFFGGGF : [346] FGGFFGG
[359] FEI : [227] IEF
[359] FEI : [485] IFE
[359] FEI : [1335] IEF
[360] AAAAA : [54] AAAAA
[360] AAAAA : [55] AAAAA
[360] AAAAA : [361] AAAAA
[361] AAAAA : [54] AAAAA
[361] AAAAA : [55] AAAAA
